id,ident,Type,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated,is_heliport,elevation_level
26596,VNKT,Airport,large_airport,Tribhuvan International Airport,27.6966,85.3591,4390,AS,Nepal,NP,Bagmati Province,NP-P3,P3,Kathmandu,1,VNKT,VNKT,KTM,,https://www.tiairport.com.np/,https://en.wikipedia.org/wiki/Tribhuvan_International_Airport,"gaucharan, Bagmati",1000,2026-01-29T17:14:39+00:00,0,Medium
28150,VNLK,Airport,small_airport,Lukla Airport,27.686768,86.729479,9380,AS,Nepal,NP,Koshi Province,NP-P1,P1,Lukla,1,VNLK,VNLK,LUA,,https://lukla.caanepal.gov.np/,https://en.wikipedia.org/wiki/Tenzing-Hillary_Airport,"Mount Everest, Tenzing Norgay, Sir Edmund Hillary",150,2024-07-04T01:22:43+00:00,0,High
26598,VNPK,Airport,medium_airport,Pokhara Domestic Airport,28.200621,83.981203,2712,AS,Nepal,NP,Gandaki Province,NP-P4,P4,Pokhara,1,VNPK,VNPK,PKR,,,https://en.wikipedia.org/wiki/Pokhara_Airport,,750,2026-01-10T18:20:43+00:00,0,Low
30707,VNBP,Airport,small_airport,Bharatpur Airport,27.678101,84.429398,600,AS,Nepal,NP,Bagmati Province,NP-P3,P3,Bharatpur,1,VNBP,VNBP,BHR,,,https://en.wikipedia.org/wiki/Bharatpur_Airport,,150,2022-10-03T21:52:17+00:00,0,Low
26597,VNNG,Airport,medium_airport,Nepalgunj Airport,28.1036,81.667,540,AS,Nepal,NP,Lumbini Province,NP-P5,P5,Nepalgunj,1,VNNG,VNNG,KEP,,,https://en.wikipedia.org/wiki/Nepalgunj_Airport,,750,2022-10-03T21:55:53+00:00,0,Low
31675,VNST,Airport,small_airport,Simikot Airport,29.9711,81.818901,9246,AS,Nepal,NP,Karnali Province,NP-P6,P6,Simikot,1,VNST,VNST,IMK,,,https://en.wikipedia.org/wiki/Simikot_Airport,,150,2024-05-17T08:40:58+00:00,0,High
308298,VNJS,Airport,small_airport,Jomsom Airport,28.780426,83.723,8976,AS,Nepal,NP,Gandaki Province,NP-P4,P4,Jomsom,1,VNJS,VNJS,JMO,,,https://en.wikipedia.org/wiki/Jomsom_Airport,Jomosom,100,2019-01-11T11:45:34+00:00,0,High
342097,NP-0003,Airport,large_airport,Pokhara International Airport,28.1838,84.0147,2595,AS,Nepal,NP,Gandaki Province,NP-P4,P4,Pokhara,1,VNPR,,PHH,,,https://en.wikipedia.org/wiki/Pokhara_International_Airport,,1000,2026-01-10T18:28:00+00:00,0,Low
26600,VNVT,Airport,medium_airport,Biratnagar Airport,26.48150063,87.26399994,236,AS,Nepal,NP,Koshi Province,NP-P1,P1,Biratnagar,1,VNVT,VNVT,BIR,,,https://en.wikipedia.org/wiki/Biratnagar_Airport,,750,2008-12-30T09:26:35+00:00,0,Low
26595,VNJP,Airport,medium_airport,Janakpur Airport,26.708799,85.922401,256,AS,Nepal,NP,Madhesh Province,NP-P2,P2,Janakpur,1,VNJP,VNJP,JKR,,,https://en.wikipedia.org/wiki/Janakpur_Airport,,500,2022-10-03T21:58:55+00:00,0,Low
